"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.915975417E-1,3.686730865E-1,-2.480973601E-3,-6.859794798E-1,7.787771482E-1
8.016525417E-1,9.877116680E-2,-1.674642563E-3,-7.699654502E-1,7.762765888E-1
8.117075417E-1,-1.693505681E-1,-1.261185944E-2,-8.641062069E-1,8.806351178E-1
8.217625417E-1,-3.924993208E-1,-5.020887136E-2,-9.601409499E-1,1.038483168E0
8.318165417E-1,-5.347331339E-1,-8.616573930E-2,-1.057982409E0,1.188566716E0
8.418715417E-1,-5.567215884E-1,-1.126407623E-1,-1.150167199E0,1.282774904E0
8.519265417E-1,-4.635918152E-1,-1.455985934E-1,-1.258959471E0,1.349479629E0
8.619805417E-1,-2.925841463E-1,-1.504851115E-1,-1.366208808E0,1.405267860E0
8.720355417E-1,-9.781310052E-2,-1.177044511E-1,-1.483393003E0,1.491266757E0
8.820905417E-1,8.544302344E-2,-1.142826605E-1,-1.643163493E0,1.649347538E0
8.921445417E-1,2.278253558E-1,-1.513996160E-1,-1.822639684E0,1.843052266E0
9.021995417E-1,3.231647918E-1,-1.974037546E-1,-2.051265231E0,2.085927318E0
9.122545417E-1,3.643236351E-1,-2.871684551E-1,-2.287937717E0,2.334492756E0
9.223085417E-1,3.589403960E-1,-3.853320962E-1,-2.551964647E0,2.605732640E0
9.323635417E-1,3.127380368E-1,-5.076383060E-1,-2.839918675E0,2.901833870E0
9.424185417E-1,2.191428253E-1,-6.533269465E-1,-3.158457442E0,3.232756268E0
9.524725417E-1,1.219047984E-1,-8.137242579E-1,-3.481037512E0,3.576958220E0
9.625275417E-1,3.089200974E-2,-1.015726263E0,-3.857060841E0,3.988680545E0
9.725825417E-1,-2.530353338E-2,-1.287149920E0,-4.264119437E0,4.454223811E0
9.826365417E-1,-4.915520310E-2,-1.529022335E0,-4.675412586E0,4.919330074E0
9.926915417E-1,-3.589576453E-2,-1.815754588E0,-5.144882607E0,5.456012305E0
1.002746542E0,4.583778530E-2,-2.172255233E0,-5.627351573E0,6.032236702E0
1.012800542E0,9.434833288E-2,-2.704813203E0,-6.210611919E0,6.774704162E0
1.022855542E0,1.407737634E-1,-3.656065142E0,-6.764895803E0,7.690932636E0
1.032910542E0,1.825132352E-1,-4.086479856E0,-7.338402994E0,8.401475298E0
1.042964542E0,1.707036138E-1,-4.754118447E0,-7.867496488E0,9.193926415E0
1.053019542E0,1.190753308E-1,-5.095905744E0,-8.352455783E0,9.784986045E0
1.063074542E0,2.607200369E-2,-5.355677070E0,-8.873576599E0,1.036457034E1
1.073128542E0,-4.390396491E-2,-6.258937987E0,-9.510775756E0,1.138556489E1
1.083183542E0,-7.404168382E-2,-6.776154617E0,-9.898195893E0,1.199566736E1
1.093238542E0,-8.188323855E-2,-6.591629355E0,-1.025514385E1,1.219115490E1
1.103292542E0,-7.339600503E-2,-6.554508891E0,-1.060581774E1,1.246797272E1
1.113347542E0,-9.716117252E-2,-6.582141663E0,-1.038701961E1,1.229732514E1
1.123402542E0,-3.485708707E-1,-1.431538842E1,1.741784620E1,2.254846366E1
1.133456542E0,-3.863377296E0,-1.455087684E1,4.462937633E0,1.570259575E1
1.143511542E0,8.491485542E-2,2.629375058E0,-1.454763398E1,1.478358813E1
1.153566542E0,-1.839417100E-1,-2.487501469E-1,-8.759643602E0,8.765105089E0
1.163620542E0,-2.323630144E-1,-9.981683169E-2,-9.792747790E0,9.796012722E0
1.173675542E0,-2.573672983E-1,-5.349892054E-1,-9.837071439E0,9.854969603E0
1.183730542E0,-8.082313836E-4,-2.921312502E0,-5.232201417E0,5.992495228E0
1.193784542E0,2.833511004E0,-5.409880759E0,2.885349026E1,2.949270240E1
1.203839542E0,-1.110297667E0,-2.478973561E0,-7.064508303E0,7.568708502E0
1.213894542E0,6.752104434E-1,-6.106805350E-1,-2.802245942E0,2.946425322E0
1.223948542E0,1.886990595E-1,-7.409056655E-1,4.798339770E0,4.858869528E0
1.234003542E0,-4.596935131E-1,5.735186655E-1,-2.353877937E0,2.465964949E0
1.244058542E0,3.288197071E-1,6.489203386E-3,6.069637889E-1,6.903401702E-1
1.254112542E0,9.981944466E-2,1.714827004E-1,2.001080918E-1,2.818039859E-1
1.264167542E0,4.015467084E-2,2.650989619E-1,-6.618931174E-2,2.761718345E-1
1.274222542E0,5.353514221E-2,4.310881301E-1,1.231663352E-1,4.515229048E-1
1.284276542E0,-1.393516657E-2,5.694066842E-1,-7.808371782E-3,5.696306975E-1
1.294331542E0,4.198849015E-2,5.429478872E-1,1.599505842E-2,5.448038944E-1
1.304386542E0,1.550065441E-1,4.482829641E-1,9.428108990E-2,4.836047648E-1
1.314440542E0,1.967519910E-1,3.823568502E-1,2.691999614E-2,4.308512424E-1
1.324495542E0,2.084940954E-1,3.140268728E-1,3.081248760E-2,3.781958144E-1
1.334550542E0,2.134274461E-1,1.935813201E-1,4.533346295E-2,2.916849758E-1
1.344604542E0,2.002776611E-1,1.446695621E-1,1.037073863E-1,2.679470950E-1
1.354659542E0,8.023552973E-2,2.044734951E-1,4.921718359E-2,2.250988263E-1
1.364714542E0,-1.918011444E-2,2.784598862E-1,3.514176607E-2,2.813231749E-1
1.374769542E0,-3.754771715E-2,3.040647339E-1,5.924223483E-2,3.120494125E-1
1.384823542E0,-3.822604899E-2,3.462441905E-1,7.106413543E-2,3.555226879E-1
1.394878542E0,-4.003202550E-2,3.974577597E-1,3.662286580E-2,4.011439493E-1
1.404933542E0,1.428981390E-2,3.993793009E-1,3.317125440E-2,4.010091731E-1
1.414987542E0,9.976197749E-2,3.222861745E-1,5.022992134E-2,3.410921803E-1
1.425042542E0,1.486398399E-1,2.842618225E-1,6.279792666E-2,3.268671983E-1
1.435097542E0,1.000866533E-1,2.912321055E-1,4.213503599E-2,3.108196241E-1
1.445151542E0,6.547748176E-2,2.886716464E-1,4.946159720E-2,3.001084298E-1
