"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.268965000E-1,-8.636004448E0,-1.161958463E-2,-4.736899212E-2,8.636142175E0
9.369505000E-1,-9.370139122E0,2.761279233E-3,-2.338053286E-2,9.370168699E0
9.470055000E-1,-1.006026649E1,2.397016250E-2,-7.430328988E-3,1.006029779E1
9.570595000E-1,-1.078578091E1,5.177557096E-2,2.994183917E-3,1.078590559E1
9.671145000E-1,-1.171758461E1,1.375842094E-1,2.321023867E-2,1.171841530E1
9.771695000E-1,-1.269103146E1,3.198748231E-1,3.869156539E-2,1.269512097E1
9.872235000E-1,-3.474569082E0,-6.523458481E0,-1.168242618E-1,7.392008439E0
9.972785000E-1,8.198246360E-1,1.863172501E-1,5.262826681E-1,9.918669257E-1
1.007333500E0,8.033149242E-1,2.954919338E-1,5.358313918E-1,1.009824555E0
1.017387500E0,8.056065440E-1,3.130687475E-1,5.393958688E-1,1.018804126E0
1.027442500E0,7.730259895E-1,3.403802514E-1,5.415405035E-1,1.003341424E0
1.037496500E0,-1.041058302E0,2.203801632E0,6.113132238E-1,2.512816722E0
1.047551500E0,-3.140094995E0,2.240855932E0,5.486019254E-1,3.896485078E0
1.057606500E0,8.379796147E-1,-4.128741741E0,3.942600265E-2,4.213107239E0
1.067660500E0,-4.329650402E-1,5.145106912E-1,1.913175285E-1,6.991297262E-1
1.077715500E0,1.120912433E-1,8.710622191E-1,9.209722281E-2,8.830604367E-1
1.087770500E0,3.813035488E-1,7.243239284E-1,-4.857680947E-2,8.199983268E-1
1.097824500E0,-4.598044604E-2,-1.696133465E-1,-5.092326086E-3,1.758090456E-1
1.107879500E0,-6.874248385E-2,-1.840450168E-1,3.426859621E-3,1.964938692E-1
1.117933500E0,2.998014726E-2,9.183413535E-2,2.322261687E-3,9.663182988E-2
1.127988500E0,-1.250020228E-2,-3.752917796E-2,1.616524067E-3,3.958923346E-2
1.138043500E0,7.947486825E-3,2.113590389E-2,-2.695659641E-3,2.274105453E-2
1.148097500E0,-6.641575601E-3,-1.007474679E-2,-1.028520754E-3,1.211069380E-2
1.158152500E0,-2.138426527E-3,5.921162665E-5,1.334059052E-3,2.521128236E-3
1.168207500E0,-8.856756613E-4,2.520770766E-3,6.537077017E-3,7.062016890E-3
1.178261500E0,-2.859174274E-4,-1.261661761E-3,7.033694535E-3,7.151670993E-3
1.188316500E0,2.269918099E-3,-1.122112386E-3,7.037157193E-3,7.478853237E-3
1.198371500E0,-2.534355503E-3,-1.979189925E-3,4.884073976E-3,5.847591742E-3
1.208425500E0,1.111778431E-3,-1.494228840E-3,1.351923216E-3,2.301405546E-3
1.218480500E0,1.148778945E-3,1.390456222E-3,1.595397014E-3,2.407976994E-3
1.228534500E0,-2.302061766E-4,1.077800989E-3,-7.120915689E-5,1.104409616E-3
1.238589500E0,-1.813983545E-5,8.587697521E-4,-8.907318115E-4,1.237423816E-3
1.248644500E0,-1.036799047E-3,1.094725914E-3,-2.408999950E-3,2.841946138E-3
1.258698500E0,2.375999466E-4,1.036285423E-3,-2.925988520E-3,3.113157566E-3
1.268753500E0,1.593027264E-4,-5.954336375E-4,-1.401595073E-3,1.531139224E-3
1.278807500E0,-5.793678574E-4,-1.111366786E-3,-2.759452909E-4,1.283335128E-3
1.288862500E0,1.036372501E-3,-1.056239009E-3,4.888723139E-3,5.107770818E-3
1.298917500E0,8.027451113E-4,1.096892171E-3,4.066434223E-3,4.287593665E-3
1.308971500E0,-1.303015742E-3,2.403971739E-3,-1.124865143E-3,2.956729906E-3
1.319026500E0,1.072645653E-3,-2.521621995E-3,1.593143679E-3,3.169740204E-3
1.329081500E0,-2.560172696E-3,6.484054029E-5,3.048561048E-3,3.981508883E-3
1.339135500E0,3.901254386E-4,-1.976033673E-4,1.070508268E-3,1.156387867E-3
1.349190500E0,6.053093821E-4,-2.491383813E-3,-2.446728293E-3,3.543990984E-3
1.359245500E0,-1.965975855E-3,1.957856119E-3,-6.481178571E-4,2.849266291E-3
1.369299500E0,-2.833907492E-4,-3.631878644E-5,-2.834573155E-3,2.848935651E-3
1.379354500E0,1.956615597E-3,2.180383541E-3,-3.199132858E-3,4.337841401E-3
1.389408500E0,5.139810964E-4,4.969993606E-4,-9.106786456E-4,1.157808502E-3
1.399463500E0,2.029784955E-4,2.583758906E-4,1.306040678E-3,1.346737028E-3
1.409518500E0,9.537236765E-4,3.475919366E-4,3.623523749E-3,3.763021840E-3
1.419572500E0,1.765805297E-3,1.655451022E-3,2.022984903E-3,3.154529181E-3
1.429627500E0,-4.009427503E-4,1.425620168E-3,1.016309951E-3,1.796116330E-3
1.439682500E0,-2.152092755E-3,3.950539976E-4,2.814755775E-3,3.565167732E-3
1.449736500E0,-5.643158220E-4,-2.440680750E-3,-6.359019317E-4,2.584520485E-3
1.459791500E0,1.044360455E-3,1.526122913E-3,-5.239741877E-4,1.922053291E-3
1.469845500E0,-2.970732749E-4,1.846887171E-4,-3.271557391E-3,3.290205193E-3
1.479900500E0,3.185610287E-3,-1.150837168E-3,1.251469366E-4,3.389424854E-3
1.489955500E0,6.348341703E-4,8.222991601E-4,-8.397165220E-4,1.335782231E-3
1.500009500E0,-4.980945960E-5,-5.983589217E-4,2.616448328E-4,6.549598461E-4
1.510064500E0,-1.390977763E-3,-1.546444371E-3,3.203372471E-3,3.819411541E-3
1.520119500E0,-1.800510567E-3,7.732640952E-4,1.196674071E-3,2.296041048E-3
1.530173500E0,-7.733297534E-4,8.443705738E-4,-9.194735903E-4,1.468479573E-3
1.540228500E0,8.162283339E-4,-1.752993092E-3,3.208139446E-3,3.745847324E-3
1.550282500E0,3.270055167E-4,-2.474443056E-3,-1.151455333E-3,2.748754341E-3
1.560337500E0,-2.121443395E-3,2.715922892E-5,-6.212270819E-4,2.210697353E-3
1.570392500E0,5.310652778E-4,1.253278926E-3,1.129002310E-3,1.768441295E-3
1.580446500E0,-8.832523599E-5,1.562032849E-3,3.019307274E-3,3.400582948E-3
1.590501500E0,2.415311988E-3,-1.708062366E-3,-7.535931654E-4,3.052722016E-3
1.600556500E0,6.367699243E-4,-7.925555110E-5,1.135119237E-4,6.516458668E-4
1.610610500E0,2.669826616E-3,1.530359499E-3,2.882400062E-3,4.216420813E-3
