"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.350265625E0,-5.857046284E-3,4.262521539E-2,5.616426051E-2,7.075053453E-2
1.360321625E0,-5.379504181E-2,1.066762369E-2,5.480946064E-2,7.753568014E-2
1.370376625E0,-1.036922931E-1,-2.543882333E-2,7.170440555E-2,1.286108361E-1
1.380432625E0,-1.077375431E-1,-4.321216621E-2,6.601506472E-2,1.335389766E-1
1.390488625E0,-5.517743323E-2,-2.121797416E-2,6.378084362E-2,8.696405912E-2
1.400543625E0,1.072748456E-2,5.926993601E-3,6.063854992E-2,6.186470654E-2
1.410599625E0,3.811156690E-2,3.261295494E-2,4.897452414E-2,7.010421083E-2
1.420655625E0,6.773103978E-2,5.389415212E-2,5.855460227E-2,1.045022240E-1
1.430711625E0,8.446909659E-2,7.755326573E-2,4.433475852E-2,1.229435160E-1
1.440766625E0,4.101872943E-2,6.714306571E-2,4.373541892E-2,9.001952180E-2
1.450822625E0,-1.695462305E-2,3.010771539E-2,6.527246833E-2,7.385410544E-2
1.460878625E0,-6.690581493E-2,1.188344255E-2,7.080101073E-2,9.813453724E-2
1.470934625E0,-8.553825997E-2,4.570183754E-3,5.910891831E-2,1.040747074E-1
1.480989625E0,-7.826629713E-2,-9.153085202E-3,4.307585299E-2,8.980490714E-2
1.491045625E0,-4.408928510E-2,-2.640913222E-2,6.595951617E-2,8.361797114E-2
1.501101625E0,1.444795825E-2,-1.615695320E-2,6.488889098E-2,6.841314791E-2
1.511157625E0,7.333179530E-2,3.886205703E-3,4.674673498E-2,8.705120348E-2
1.521212625E0,9.071947776E-2,2.038116451E-2,2.004191637E-2,9.511621273E-2
1.531268625E0,8.540618598E-2,8.543008648E-2,9.856534481E-2,1.559090872E-1
1.541324625E0,2.083304465E-2,1.047850281E-1,-2.928870320E-3,1.068760784E-1
1.551380625E0,-1.588827364E-2,6.612031460E-2,7.326034963E-2,9.995705113E-2
1.561435625E0,-8.472527772E-2,2.811184142E-2,4.989546061E-2,1.022653671E-1
1.571491625E0,-1.459427385E-1,-2.636568010E-2,8.207327306E-2,1.695006023E-1
1.581547625E0,-1.106932010E-1,-6.835851911E-2,5.767459631E-2,1.423103332E-1
1.591603625E0,-4.774913047E-2,-4.830264252E-2,6.905970991E-2,9.686262575E-2
1.601658625E0,2.067582764E-2,-1.954519540E-2,5.574092209E-2,6.258238496E-2
1.611714625E0,8.015929665E-2,2.839682009E-2,5.514859915E-2,1.013570926E-1
1.621770625E0,1.165929319E-1,8.255395073E-2,3.329755425E-2,1.466894464E-1
1.631826625E0,9.778543588E-2,1.152567701E-1,2.895131886E-2,1.538970220E-1
1.641881625E0,4.456817206E-2,1.022242400E-1,4.481072187E-2,1.201836844E-1
1.651937625E0,-3.435644846E-2,8.334029160E-2,5.453113317E-2,1.053547068E-1
1.661993625E0,-9.611941796E-2,6.011949990E-2,5.930889308E-2,1.279485896E-1
1.672048625E0,-1.222775219E-1,2.119703382E-2,6.035086691E-2,1.379975860E-1
1.682104625E0,-1.093745077E-1,-4.313392315E-2,6.049880147E-2,1.322248964E-1
1.692160625E0,-4.677816376E-2,-8.348881088E-2,5.482407868E-2,1.102916939E-1
1.702216625E0,3.727603633E-2,-7.780465946E-2,4.824537635E-2,9.884677160E-2
1.712271625E0,8.599887438E-2,-6.247530654E-2,4.181928635E-2,1.142270679E-1
1.722327625E0,1.108588234E-1,-3.602264911E-2,4.541766286E-2,1.251002561E-1
1.732383625E0,1.031837315E-1,-7.941542119E-3,4.586965263E-2,1.131988321E-1
1.742439625E0,8.713542692E-2,3.434398659E-3,9.691350639E-2,1.303710299E-1
1.752494625E0,5.177203676E-1,-3.768348493E-1,1.372009392E0,1.514083437E0
1.762550625E0,4.377034872E-1,-2.145121960E-1,1.985479378E0,2.044438354E0
1.772606625E0,-1.197234142E0,9.651386382E-1,-1.744098714E0,2.325240312E0
1.782662625E0,-4.211972360E-1,1.856732167E-2,-3.324663670E0,3.351289360E0
1.792717625E0,1.437470360E-1,3.405677866E-2,7.676826972E-1,7.817670996E-1
1.802773625E0,2.607551385E-1,-6.549795158E-3,1.735618497E0,1.755109031E0
1.812829625E0,8.750734638E-2,-4.195633046E-2,-5.269434732E-1,5.358052755E-1
1.822885625E0,-3.254010228E-2,3.408104461E-2,-7.340705627E-1,7.355813802E-1
1.832940625E0,6.863553096E-3,5.791466106E-2,-3.013093615E-1,3.069015276E-1
1.842996625E0,-1.387317512E-1,-9.902625158E-4,-5.622039378E-2,1.496937276E-1
1.853052625E0,8.709250471E-2,-1.299537832E-1,6.604868621E-1,6.787606243E-1
1.863108625E0,2.292967528E-1,-9.377811972E-2,9.333770013E-1,9.656935141E-1
1.873163625E0,-3.255980009E-2,-2.824281905E-2,2.397183001E-1,2.435624372E-1
